group;value
4;119
2;93
1;32
9;79
9;39
3;2
3;38
6;58
3;23
0;11
8;47
3;105
1;53
4;78
6;5
0;72
2;30
3;55
3;6
7;102
0;33
8;62
0;21
2;74
1;0
6;40
5;73
8;84
7;116
5;102
7;45
3;71
3;78
1;85
2;42
3;36
4;92
6;81
9;12
5;88
0;73
8;17
6;3
2;12
1;86
3;76
3;106
2;16
8;87
6;65
3;60
0;96
7;44
4;116
0;0
7;105
8;117
4;110
8;93
4;90
3;59
5;103
4;36
1;60
1;47
9;66
9;70
6;93
3;61
7;65
9;70
3;39
3;30
9;41
8;73
4;50
6;54
1;18
3;7
8;57
1;81
3;40
7;4
4;12
2;28
2;117
8;71
9;44
6;79
3;9
1;6
9;107
7;62
8;89
3;113
8;67
8;12
3;19
8;119
6;16
5;46
0;30
5;9
0;5
5;4
9;72
4;91
7;30
9;18
9;40
6;82
6;79
8;41
6;23
3;34
4;59
5;82
9;111
0;57
1;39
3;40
9;103
8;14
9;103
7;18
4;56
4;68
7;87
4;15
9;34
4;19
3;101
3;37
3;46
5;78
2;92
1;4
0;76
2;52
4;38
6;73
7;18
1;100
7;113
8;80
2;72
1;36
0;47
3;74
9;51
0;83
7;57
0;119
1;33
4;51
6;17
1;57
2;19
2;12
0;24
8;12
0;5
5;13
2;38
0;14
8;97
9;91
8;27
9;64
5;3
3;115
2;8
7;60
9;78
2;20
3;3
0;22
0;60
9;27
6;7
6;94
1;117
0;39
9;17
9;48
3;111
7;105
5;29
5;52
4;16
2;1
8;86
8;9
8;68
8;108
4;106
3;16
5;9
1;2
7;21
9;37
7;108
0;66
4;85
4;103
4;92
5;69
8;25
4;9
4;19
7;72
3;113
4;5
0;27
2;103
7;5
5;9
7;29
5;58
6;37
5;44
4;17
7;74
1;57
1;34
7;43
2;68
7;79
6;97
5;24
3;103
9;118
5;37
5;41
2;53
0;10
8;104
2;17
2;28
9;98
0;105
2;4
9;104
8;74
6;49
2;79
8;32
5;88
3;102
2;108
4;42
3;37
9;2
2;111
8;75
5;83
6;104
5;5
0;44
6;119
5;12
6;28
6;78
1;79
8;102
4;88
6;76
8;46
6;7
0;35
8;109
4;11
6;42
4;17
3;53
2;32
0;25
6;72
0;3
7;81
3;98
6;116
1;118
1;87
0;101
5;61
5;84
4;88
8;114
3;89
1;12
0;114
3;7
0;75
1;66
9;102
0;21
4;80
2;31
3;53
9;48
4;82
3;34
1;101
8;40
4;0
8;29
9;4
5;35
8;117
3;98
6;3
5;54
7;86
2;89
2;40
9;30
0;97
8;88
7;83
8;3
4;43
5;94
6;12
3;40
0;111
4;7
4;26
5;94
4;6
6;79
1;59
6;82
2;58
4;112
4;49
8;44
3;49
9;31
2;7
0;76
0;106
6;21
9;102
0;59
1;91
7;54
9;84
2;14
8;48
2;27
2;57
0;20
7;67
0;64
3;80
7;2
8;43
7;2
2;64
0;4
4;48
4;27
0;37
9;107
9;103
8;15
4;44
1;3
1;84
4;60
7;92
7;45
1;87
9;111
7;51
3;33
2;103
8;57
3;35
6;78
2;54
7;115
0;114
9;59
0;1
9;112
9;86
1;61
5;60
2;116
2;2
0;33
8;13
4;51
6;14
5;20
0;89
1;25
8;86
5;9
3;30
9;49
0;96
3;25
9;38
2;5
9;81
7;1
2;101
7;55
1;25
6;35
2;113
3;94
9;41
6;81
7;105
1;82
6;82
8;98
2;30
0;111
2;21
1;50
3;30
6;13
9;106
4;24
4;16
9;33
4;32
3;74
1;32
4;101
8;98
8;48
0;52
7;92
3;61
3;117
1;49
6;14
5;97
0;87
0;95
5;69
6;1
6;46
8;80
4;33
1;104
9;27
4;99
9;88
7;11
0;73
7;92
9;61
9;49
2;54
9;59
4;114
8;102
0;90
7;108
6;9
7;42
3;24
2;27
5;44
5;105
6;77
0;108
8;75
6;114
3;12
6;45
1;18
6;19
2;113
2;54
0;64
8;78
9;23
6;86
3;5
0;3
3;3
2;95
3;96
8;95
9;107
1;19
1;111
8;100
8;78
6;116
3;64
3;104
6;16
4;46
6;42
6;31
2;22
7;67
0;15
0;54
1;99
6;59
4;6
5;69
9;17
2;102
8;77
2;87
8;84
2;51
1;87
9;36
1;77
3;22
6;6
8;103
9;78
6;96
1;70
4;34
5;89
4;39
0;42
2;76
2;59
9;30
4;58
4;56
7;60
9;11
0;29
0;93
7;56
3;58
3;16
6;62
1;99
3;56
1;37
5;114
1;89
0;84
5;59
8;54
6;70
6;111
3;2
2;91
6;48
3;103
7;63
1;18
9;14
9;97
8;44
7;8
2;98
7;7
3;117
0;78
4;42
8;51
6;74
4;36
2;82
2;95
2;9
8;87
2;5
6;48
7;8
8;34
7;11
4;15
6;11
9;108
2;118
4;41
6;89
7;106
5;74
9;105
0;39
3;43
9;40
1;13
8;32
5;70
3;54
0;80
0;65
8;84
2;52
9;58
3;9
3;0
8;107
9;52
0;8
0;81
9;89
2;110
2;39
5;74
0;78
3;29
1;71
0;75
7;54
7;100
6;48
4;53
6;111
9;82
0;19
7;53
0;96
4;9
6;0
0;101
6;70
6;99
9;47
4;60
1;12
7;37
1;17
2;64
3;71
6;58
3;64
0;60
0;111
5;88
8;8
8;98
7;84
9;111
2;2
1;9
7;86
0;55
0;72
5;20
9;42
1;31
1;109
8;115
8;80
6;15
3;39
9;112
4;110
7;73
0;56
2;32
6;64
4;40
2;12
4;52
1;42
3;95
0;10
3;54
1;111
4;111
3;104
3;50
8;102
3;47
3;119
3;94
1;80
2;71
2;70
1;34
8;107
7;47
5;28
3;97
4;40
2;40
6;26
8;14
7;80
6;38
0;89
8;112
6;12
5;88
0;86
1;21
7;43
2;65
2;39
8;6
4;20
5;8
3;100
7;70
1;90
1;104
6;59
4;62
0;21
8;42
3;115
4;113
0;37
3;73
4;0
3;43
9;3
0;38
7;58
1;91
1;108
7;50
8;27
9;56
2;57
0;92
8;101
0;5
8;13
8;5
5;75
7;16
4;60
2;71
5;51
3;109
1;99
8;51
8;74
3;102
6;31
9;32
3;113
7;107
6;96
9;46
9;73
5;103
8;63
2;35
5;58
2;64
6;0
1;98
2;49
6;68
6;89
6;118
8;78
4;91
3;33
0;100
3;84
1;20
5;74
4;54
2;99
3;110
6;14
7;22
1;8
1;24
3;118
1;73
1;7
1;7
6;37
4;19
6;22
8;59
2;90
2;22
8;80
0;7
3;10
6;35
8;117
5;16
3;43
9;57
9;101
6;75
8;79
7;113
8;42
1;51
9;15
4;57
0;58
5;87
4;10
9;22
7;42
2;96
2;42
8;23
3;1
2;4
8;102
9;15
0;90
1;18
9;75
2;2
4;5
4;73
2;118
0;5
2;29
5;66
1;52
4;77
5;83
0;45
2;18
0;88
4;52
6;60
9;32
7;66
4;55
0;94
7;12
0;55
9;96
6;10
1;41
5;102
7;56
4;31
1;82
4;15
1;17
7;97
1;103
1;58
6;20
9;75
2;117
4;75
7;41
9;2
7;27
4;67
6;9
3;36
0;96
3;69
2;55
5;24
6;54
0;45
1;62
7;22
8;28
0;107
3;2
6;18
7;74
7;87
4;39
3;14
6;82
3;73
0;30
0;109
1;15
3;30
7;15
8;10
2;66
5;26
1;42
0;43
6;82
8;95
9;110
9;4
9;107
2;12
2;112
6;56
6;25
9;100
0;88
8;13
8;29
6;4
4;107
6;103
7;119
7;118
5;5
5;37
0;82
6;18
9;84
3;107
1;25
4;36
4;28
0;13
4;52
4;7
9;92
7;59
0;84
4;17
0;6
4;52
6;74
5;54
5;67
1;37
2;60
7;10
2;54
0;35
4;80
0;1
2;105
4;1
6;27
0;73
0;99
4;52
8;76
0;103
0;116
5;56
9;2
6;70
0;56
0;117
7;91
6;58
3;42
1;34
4;11
8;96
0;89
5;78
9;25
3;112
2;32
7;87
2;17
1;112
4;21
7;37
0;48
4;51
2;87
4;106
8;99
4;20
4;77
6;109
7;10
4;46
4;111
4;77
1;81
4;11
3;74
5;49
9;60
2;16
9;66
2;103
9;86
6;83
7;33
3;4
4;49
4;119
5;31
5;119
4;66
2;29
1;62
2;64
5;1
7;6
8;93
7;25
8;82
2;109
8;118
0;29
4;65
2;24
5;34
7;43
3;84
2;22
6;119
2;108
8;65
2;13
7;42
5;35
6;99
7;96
3;88
2;93
0;115
7;19
7;100
9;11
9;101
8;95
9;0
4;81
9;98
5;54
4;9
0;92
8;2
3;31
1;104
6;31
1;29
1;84
8;118
5;90
3;95
1;113
8;77
8;117
0;12
7;8
5;108
5;111
2;112
1;3
3;35
8;51
3;114
9;106
8;111
7;111
0;105
4;67
4;28
7;97
5;51
7;75
4;70
4;28
6;34
0;68
4;50
0;107
1;82
0;109
5;2
2;10
5;34
0;50
3;45
5;0
6;70
0;100
6;82
9;107
1;84
3;14
6;103
6;110
8;69
9;78
1;99
7;38
5;44
2;43
5;44
2;98
0;28
4;11
0;88
5;45
5;33
5;56
4;38
0;55
6;56
2;95
6;15
3;23
5;10
5;112
1;119
0;109
0;40
3;65
7;29
8;84
4;51
1;78
8;4
9;72
4;102
7;33
8;83
4;52
1;61
7;26
3;74
6;65
5;40
1;52
0;80
8;47
2;84
9;56
6;3
6;72
1;37
3;18
8;7
4;41
7;6
1;10
7;115
6;113
3;3
4;51
9;13
2;105
0;13
1;8
0;38
3;108
2;97
4;109
6;50
2;75
6;8
0;72
1;119
4;52
7;102
8;48
5;14
1;7
3;51
5;64
5;30
2;36
3;66
1;63
3;56
8;76
3;84
4;86
3;0
9;61
8;105
5;96
8;1
4;74
6;95
8;20
8;100
5;66
4;24
7;118
4;50
0;6
4;56
4;1
0;57
2;76
3;43
5;34
4;92
3;55
6;57
8;2
2;21
4;32
6;10
0;100
5;17
9;24
0;69
9;96
8;39
0;6
0;74
1;79
9;50
5;88
4;58
2;77
0;40
5;115
6;89
8;52
0;30
7;47
1;36
5;23
6;13
2;111
8;57
3;84
0;58
1;116
3;32
5;70
1;85
6;107
4;95
1;118
4;43
8;107
1;79
0;102
3;115
2;40
2;84
9;35
4;61
1;102
9;39
5;89
4;31
7;7
0;57
9;85
7;79
5;119
9;80
4;76
4;42
7;28
7;57
1;114
4;47
9;72
8;15
8;70
1;9
8;61
5;116
2;21
1;85
9;78
7;91
9;63
5;28
5;67
5;43
3;6
9;2
6;86
3;65
6;119
0;25
6;17
1;72
4;88
3;51
1;11
2;3
3;112
3;33
9;116
5;13
1;117
4;56
8;103
5;42
4;3
9;5
5;62
5;39
7;29
4;107
0;74
2;118
3;54
7;30
4;1
4;109
9;75
9;79
2;115
9;115
9;119
3;48
4;16
5;73
5;109
2;2
1;77
8;20
9;1
2;83
3;50
0;48
2;87
4;20
9;45
8;17
4;61
2;105
7;38
4;66
2;61
1;64
1;0
5;33
6;79
2;98
2;54
3;43
1;46
7;97
7;105
7;108
5;88
0;16
1;80
7;62
7;85
3;97
4;52
5;77
3;9
0;114
5;111
4;19
9;65
4;96
3;58
4;18
4;38
9;78
4;61
2;116
6;71
0;35
1;14
8;89
6;116
4;54
5;34
9;72
1;93
9;96
4;67
9;97
2;1
0;81
7;78
9;50
2;11
4;29
4;5
8;65
3;15
6;29
8;112
0;55
8;40
9;5
5;4
1;29
8;90
4;71
7;43
4;113
6;51
7;2
0;90
2;26
5;47
8;9
6;26
8;104
6;8
8;62
8;32
6;108
5;16
6;86
9;8
4;78
7;102
1;96
4;72
5;0
9;5
3;18
2;89
8;25
1;105
0;31
1;3
2;61
0;58
8;89
8;84
4;20
7;82
7;46
0;6
4;60
4;93
9;29
2;25
5;39
1;75
0;117
2;33
7;8
0;65
4;32
8;74
7;104
7;47
1;41
7;22
9;54
1;13
6;24
6;27
6;66
7;10
4;101
6;68
7;26
9;37
9;77
2;67
5;68
4;43
7;56
8;115
4;15
9;4
4;38
3;76
0;74
5;1
7;17
0;99
9;31
1;112
2;55
